origem_uf,destino_uf,distancia_km,peso_kg,tipo_carga,modal,prazo_dias,frete_final_r$
SP,RS,181,18715.04,Perecível,Rodoviário,9,1028.21
RS,RJ,1398,4705.58,Frágil,Ferroviário,12,5116.9
BA,PE,2525,18661.05,Inflamável,Aéreo,9,18079.72
PR,PE,1505,20800.32,Industrial,Ferroviário,7,5310.96
GO,BA,405,10369.18,Inflamável,Aéreo,8,3218.95
SP,MG,161,20086.76,Perecível,Rodoviário,7,910.88
ES,PR,2912,27963.71,Perecível,Aéreo,14,19200.36
BA,PR,2929,17143.45,Frágil,Ferroviário,2,15861.87
RS,RJ,1037,20450.02,Perecível,Aéreo,7,6318.17
BA,PR,540,4737.9,Inflamável,Rodoviário,8,2304.17
BA,PR,238,24568.22,Frágil,Rodoviário,11,1334.01
PE,PE,1763,10559.9,Frágil,Aéreo,10,11394.82
RS,MG,2490,14609.4,Comum,Aéreo,2,18808.54
RJ,RJ,1096,8728.84,Frágil,Aéreo,11,6738.5
SP,PR,2110,18551.5,Inflamável,Rodoviário,3,13899.85
SC,GO,963,23331.85,Perecível,Aéreo,14,6655.62
GO,SP,791,24469.5,Industrial,Ferroviário,6,2452.47
GO,GO,713,22133.8,Inflamável,Ferroviário,5,3058.15
RJ,MG,2348,14269.04,Frágil,Aéreo,11,14668.84
SC,SC,388,22818.51,Frágil,Aéreo,6,3404.18
RJ,PR,2380,10545.27,Frágil,Rodoviário,10,9809.51
PR,SP,1758,13847.68,Industrial,Aéreo,4,9797.97
GO,PR,2879,26820.37,Comum,Ferroviário,8,8945.8
ES,RJ,650,21168.09,Frágil,Ferroviário,1,3623.79
GO,BA,2552,25676.6,Perecível,Ferroviário,8,9692.69
GO,PR,1263,16658.0,Perecível,Rodoviário,11,6002.42
GO,PE,523,26806.84,Comum,Ferroviário,13,2001.98
GO,RJ,2452,10919.29,Comum,Rodoviário,1,11963.93
MG,RJ,1801,9582.16,Industrial,Ferroviário,9,5675.92
MG,GO,1510,20093.96,Industrial,Aéreo,14,8178.27
PE,PE,618,8572.32,Comum,Rodoviário,10,2374.68
PE,GO,2326,27583.12,Industrial,Aéreo,1,18354.08
RJ,RS,612,599.68,Frágil,Aéreo,14,3960.01
SC,RJ,1269,4338.12,Inflamável,Rodoviário,1,8254.73
GO,RS,750,2587.83,Perecível,Rodoviário,13,4319.31
RS,GO,361,26835.29,Industrial,Rodoviário,13,1756.73
PR,PE,1074,27287.41,Inflamável,Rodoviário,5,5062.42
SC,GO,571,11226.38,Comum,Rodoviário,8,2561.91
RJ,BA,2381,22904.14,Comum,Ferroviário,10,7641.71
PR,PR,2012,26638.15,Comum,Rodoviário,1,10856.58
ES,GO,2398,12716.01,Industrial,Ferroviário,11,7158.96
GO,ES,2941,27136.87,Inflamável,Rodoviário,4,13827.86
MG,SP,1633,8667.4,Frágil,Ferroviário,12,6253.2
RJ,GO,2306,25411.97,Comum,Aéreo,11,13197.82
MG,PE,2250,9365.41,Perecível,Rodoviário,11,10002.98
RJ,MG,149,18330.19,Frágil,Aéreo,1,1600.16
PE,SC,2640,9745.7,Comum,Ferroviário,5,8374.51
GO,PE,358,3404.08,Industrial,Rodoviário,4,869.74
SP,BA,73,20162.28,Industrial,Rodoviário,8,723.49
RJ,ES,690,23990.96,Frágil,Rodoviário,6,3454.0
PR,GO,2880,28635.07,Perecível,Rodoviário,14,13420.01
MG,GO,1337,27742.23,Frágil,Aéreo,5,9718.63
PR,PE,686,27164.22,Frágil,Aéreo,7,5285.98
RJ,SC,2666,1528.73,Inflamável,Aéreo,5,17761.51
GO,RS,2960,23044.5,Frágil,Ferroviário,2,15681.41
SC,SP,2258,2675.72,Inflamável,Aéreo,9,15316.35
PE,SC,273,16167.49,Inflamável,Ferroviário,12,1020.76
RJ,SP,2048,29414.69,Industrial,Ferroviário,9,6468.01
RS,PE,2358,3994.19,Comum,Aéreo,3,17517.72
RS,PE,2489,4540.73,Perecível,Rodoviário,8,10476.98
SC,PR,2932,19417.09,Comum,Ferroviário,10,9399.27
RJ,PR,2569,9563.55,Perecível,Ferroviário,4,9688.07
GO,ES,1257,3048.72,Frágil,Rodoviário,5,4954.93
RJ,RJ,2323,25742.45,Frágil,Rodoviário,14,10011.36
RJ,GO,888,12618.18,Comum,Aéreo,8,5242.02
GO,RJ,1582,29204.99,Inflamável,Ferroviário,5,7371.4
SP,SP,2033,16849.34,Perecível,Aéreo,5,13948.44
SC,BA,1687,18964.43,Comum,Rodoviário,6,6205.3
SC,RJ,293,29986.73,Perecível,Rodoviário,9,1648.88
SC,SP,1914,4679.95,Frágil,Aéreo,2,15906.41
SC,SC,2978,21786.25,Industrial,Aéreo,14,16072.5
SP,ES,1793,9015.24,Inflamável,Aéreo,7,12452.25
RJ,BA,2810,29511.36,Perecível,Aéreo,9,18896.95
SC,PR,2405,20314.41,Industrial,Ferroviário,7,7750.46
MG,SP,285,7618.44,Industrial,Ferroviário,1,997.87
PE,RS,1660,10190.29,Industrial,Aéreo,5,9093.4
BA,GO,1527,9604.95,Perecível,Rodoviário,10,6890.44
RS,PR,1578,23446.3,Inflamável,Rodoviário,9,7890.47
MG,RS,2515,12348.38,Industrial,Aéreo,10,13870.68
GO,GO,2817,20594.93,Perecível,Aéreo,5,18426.78
MG,ES,898,3106.63,Industrial,Ferroviário,9,3342.31
RJ,RJ,73,2151.45,Inflamável,Ferroviário,2,517.8
PE,MG,437,24492.18,Inflamável,Rodoviário,3,3331.6
BA,PE,1839,18296.41,Comum,Rodoviário,4,6748.64
PR,RJ,1779,17823.25,Frágil,Ferroviário,8,6809.21
ES,RJ,1687,6485.8,Industrial,Ferroviário,14,5529.49
RS,GO,2413,17812.48,Industrial,Rodoviário,8,8775.91
GO,RS,2044,8311.47,Industrial,Rodoviário,8,7570.34
RS,SP,2707,17002.38,Comum,Aéreo,1,21062.24
SP,PR,2692,21077.92,Perecível,Aéreo,11,17494.23
MG,SC,1016,28036.56,Perecível,Rodoviário,14,4894.54
PE,GO,120,2470.18,Perecível,Rodoviário,12,451.66
RS,PR,1983,9311.46,Perecível,Aéreo,10,12504.4
MG,BA,2491,23052.56,Industrial,Aéreo,1,19477.35
PE,ES,1368,21016.26,Inflamável,Rodoviário,3,9788.7
PE,PE,1141,10162.94,Industrial,Aéreo,13,6681.38
RJ,SP,1736,8648.66,Inflamável,Ferroviário,12,7146.18
RJ,GO,849,13195.86,Frágil,Rodoviário,11,3627.48
PE,RS,1336,20850.45,Perecível,Rodoviário,6,6074.63
ES,MG,680,21503.64,Inflamável,Rodoviário,12,3542.48
RJ,SC,2894,15197.67,Comum,Ferroviário,9,8932.14
RJ,ES,488,26942.06,Industrial,Ferroviário,8,1880.46
SP,RJ,1449,24356.77,Comum,Ferroviário,12,4975.21
GO,SC,1096,2254.13,Frágil,Rodoviário,7,4246.67
MG,MG,1574,20478.64,Frágil,Ferroviário,1,8762.5
PR,MG,1871,15740.15,Inflamável,Ferroviário,14,8551.48
SP,PE,2952,5287.6,Frágil,Ferroviário,7,10822.8
BA,PR,2228,23343.51,Perecível,Aéreo,8,14598.38
SC,SP,2992,29105.98,Frágil,Ferroviário,1,15735.3
SC,GO,2890,20337.93,Industrial,Ferroviário,6,9444.52
SC,GO,610,22422.14,Perecível,Aéreo,2,6356.79
PE,BA,1391,29307.9,Comum,Rodoviário,6,5842.79
SC,SC,452,25240.9,Frágil,Rodoviário,11,1896.54
ES,BA,2451,6590.52,Frágil,Ferroviário,2,12787.03
MG,ES,2364,11713.27,Comum,Aéreo,7,13061.33
GO,PE,946,9516.3,Perecível,Ferroviário,6,4081.66
ES,BA,2365,193.06,Industrial,Ferroviário,8,7268.45
RS,PE,2163,16966.19,Comum,Aéreo,5,11650.18
SP,PR,1236,12605.64,Frágil,Aéreo,11,7999.31
GO,MG,1301,11487.75,Inflamável,Ferroviário,9,5803.28
PR,MG,1189,13162.72,Frágil,Ferroviário,11,3991.04
GO,PR,119,6658.58,Perecível,Aéreo,1,1489.21
GO,ES,1072,24445.31,Frágil,Ferroviário,14,4116.22
ES,SP,427,25250.82,Inflamável,Rodoviário,1,3533.61
RS,RJ,1270,1655.8,Perecível,Aéreo,4,7128.9
ES,ES,1224,2345.22,Frágil,Ferroviário,6,4758.08
SC,RJ,2532,599.99,Comum,Aéreo,3,18618.47
ES,PR,717,15039.59,Frágil,Ferroviário,1,4331.09
SP,SP,2495,22626.64,Perecível,Rodoviário,9,11353.24
PR,BA,1083,10722.77,Comum,Rodoviário,1,5086.28
SC,ES,1358,6051.94,Comum,Ferroviário,1,6520.97
PE,MG,1784,12427.59,Frágil,Ferroviário,14,6827.3
GO,MG,2122,28769.06,Industrial,Rodoviário,10,7742.07
PR,SP,2534,22259.23,Frágil,Aéreo,2,22324.14
RJ,SP,2912,13769.27,Perecível,Aéreo,1,26061.71
RJ,RJ,2132,26474.22,Inflamável,Aéreo,6,15115.78
SP,RJ,422,16848.99,Inflamável,Rodoviário,3,3277.15
PR,SC,312,7118.11,Inflamável,Rodoviário,7,1592.74
PR,BA,1714,15636.52,Frágil,Aéreo,8,10507.24
ES,SC,2160,15642.95,Frágil,Ferroviário,10,7664.91
RS,SC,209,5042.8,Frágil,Ferroviário,2,1182.35
PE,BA,365,8614.5,Comum,Ferroviário,7,1291.39
PR,SC,2735,14817.01,Industrial,Aéreo,3,20826.43
SP,PR,1734,3243.11,Frágil,Ferroviário,3,8863.73
RS,RS,2832,1665.05,Frágil,Aéreo,10,16954.17
RS,BA,2774,8599.18,Comum,Aéreo,9,15179.92
RS,RS,154,11717.59,Perecível,Rodoviário,3,1112.5
GO,PE,335,3888.74,Perecível,Ferroviário,9,1285.68
ES,SC,1933,4803.52,Comum,Aéreo,3,14029.16
ES,RJ,2440,8696.1,Frágil,Rodoviário,10,9947.95
PR,BA,1833,26916.12,Inflamável,Rodoviário,12,8830.89
SP,MG,293,8237.48,Frágil,Aéreo,6,2094.54
RS,BA,642,580.55,Perecível,Rodoviário,4,2789.65
RS,RJ,1965,9587.76,Inflamável,Aéreo,4,13568.53
PR,BA,602,8416.24,Inflamável,Aéreo,13,4354.92
SC,PE,862,12968.43,Perecível,Aéreo,5,6220.26
PE,SC,1110,2307.54,Inflamável,Aéreo,13,7696.17
RS,GO,1308,21357.35,Industrial,Rodoviário,1,7360.05
BA,RS,2660,11218.99,Frágil,Ferroviário,9,9927.32
MG,SP,2774,3512.9,Comum,Ferroviário,4,8519.06
BA,MG,723,8337.05,Frágil,Aéreo,4,3995.92
GO,GO,1470,24498.39,Perecível,Ferroviário,13,5905.42
RS,SP,1637,13237.93,Inflamável,Ferroviário,5,6997.84
SC,PR,1309,8718.62,Industrial,Aéreo,9,7124.42
ES,MG,2136,23478.84,Inflamável,Ferroviário,10,9403.31
RJ,RS,1979,1848.55,Frágil,Rodoviário,5,8153.91
BA,RS,2061,23837.97,Industrial,Rodoviário,8,7734.88
RS,SC,1031,17935.0,Comum,Ferroviário,3,5904.1
RS,SC,1331,24184.69,Comum,Rodoviário,4,5221.7
PE,PE,2954,27292.18,Comum,Rodoviário,3,15803.37
BA,BA,469,10111.31,Frágil,Rodoviário,6,1715.73
ES,RS,1913,28077.17,Frágil,Aéreo,3,17698.8
MG,GO,1360,7208.62,Comum,Ferroviário,14,4048.13
PR,RJ,2855,27985.32,Frágil,Rodoviário,11,11900.88
ES,RJ,1148,20820.76,Perecível,Ferroviário,10,5028.01
MG,RS,761,1321.23,Comum,Ferroviário,6,1958.6
MG,ES,327,27599.26,Frágil,Rodoviário,5,1979.93
MG,PE,1019,19374.5,Comum,Rodoviário,10,3678.65
RJ,SP,2993,16473.38,Comum,Ferroviário,9,9366.45
GO,RS,2168,5794.99,Industrial,Ferroviário,12,6775.59
PE,BA,1281,10142.99,Inflamável,Ferroviário,3,7833.02
SP,PR,2647,29575.29,Industrial,Rodoviário,7,9807.03
SP,SC,159,19255.92,Perecível,Ferroviário,3,789.17
RS,SP,1090,9086.84,Frágil,Ferroviário,1,6001.56
SP,BA,2722,22527.88,Frágil,Aéreo,8,16986.25
SP,SP,2546,18825.72,Comum,Ferroviário,4,8735.04
GO,SP,1624,600.45,Comum,Rodoviário,6,6351.13
MG,BA,998,1486.96,Industrial,Ferroviário,1,4664.34
BA,SP,535,1246.13,Industrial,Ferroviário,4,1531.7
BA,SC,2455,5045.44,Industrial,Aéreo,13,12947.02
GO,RS,1615,24585.16,Frágil,Aéreo,1,14845.31
PE,RJ,827,28665.99,Perecível,Rodoviário,1,6132.0
PE,PE,1526,22768.15,Inflamável,Aéreo,1,16033.37
GO,GO,973,12407.26,Frágil,Rodoviário,12,4419.71
RS,GO,1302,9515.33,Comum,Rodoviário,13,4389.03
PE,GO,691,22399.35,Perecível,Ferroviário,2,4178.88
SC,SP,2051,4159.19,Industrial,Ferroviário,8,6574.34
ES,BA,1910,14051.53,Industrial,Rodoviário,7,6728.54
RJ,PR,714,15571.76,Perecível,Aéreo,11,5294.11
RS,SC,323,21942.36,Industrial,Ferroviário,12,1043.88
BA,SP,618,18641.58,Inflamável,Rodoviário,3,4890.49
SP,RS,525,18089.78,Inflamável,Rodoviário,5,3020.57
BA,GO,1914,19056.35,Inflamável,Ferroviário,3,11512.2
RS,MG,1505,26674.04,Industrial,Ferroviário,9,5267.71
PE,ES,111,9604.99,Frágil,Aéreo,6,529.23
RJ,SP,1397,16445.06,Industrial,Aéreo,11,7859.29
MG,RJ,217,18540.01,Frágil,Ferroviário,8,1461.68
BA,PE,2767,27194.46,Industrial,Aéreo,13,15264.25
SP,PR,223,7515.66,Comum,Aéreo,13,1602.45
SC,ES,286,17810.48,Comum,Rodoviário,14,1265.0
RJ,BA,2517,22212.67,Comum,Ferroviário,6,8376.66
BA,PE,241,4579.01,Perecível,Ferroviário,13,806.71
SP,SP,110,6313.13,Inflamável,Rodoviário,9,773.76
GO,RS,2891,22088.61,Perecível,Ferroviário,5,11676.31
RJ,MG,2267,19824.65,Frágil,Rodoviário,13,9607.22
MG,PE,1668,23098.91,Inflamável,Rodoviário,14,8408.75
BA,ES,1363,16592.95,Perecível,Ferroviário,4,5279.89
ES,PE,2961,8610.1,Frágil,Rodoviário,9,12040.73
PR,SP,2033,27453.36,Frágil,Aéreo,10,13175.72
PR,PE,565,14975.85,Industrial,Rodoviário,5,2315.54
ES,GO,2334,1758.38,Industrial,Aéreo,2,17159.95
MG,BA,1230,13818.97,Industrial,Rodoviário,6,4089.48
SP,ES,64,13330.89,Inflamável,Ferroviário,13,334.06
RS,SP,1217,27944.98,Industrial,Aéreo,4,7723.53
GO,PE,1447,11331.98,Perecível,Aéreo,1,13728.91
SC,ES,2505,8573.43,Industrial,Aéreo,4,13117.28
RJ,PE,1819,18779.48,Inflamável,Ferroviário,13,8503.68
RJ,PR,704,15720.01,Perecível,Ferroviário,5,2399.58
SP,RJ,2720,13309.64,Inflamável,Ferroviário,1,15909.51
SP,ES,2839,20459.89,Inflamável,Rodoviário,11,13746.08
PR,GO,1769,4451.77,Frágil,Rodoviário,3,10118.05
RJ,PR,551,23702.73,Inflamável,Ferroviário,1,3614.55
ES,RJ,464,6308.58,Comum,Rodoviário,3,2548.15
RJ,SC,262,8347.32,Perecível,Ferroviário,1,1810.72
ES,RS,2045,4000.78,Comum,Ferroviário,12,6795.36
PR,PR,2943,4275.03,Comum,Aéreo,13,15185.86
MG,SC,1419,15701.04,Comum,Ferroviário,6,4602.29
PR,PE,1311,26826.44,Inflamável,Ferroviário,1,8345.64
RJ,GO,2603,10402.78,Industrial,Aéreo,7,13962.07
PR,RJ,2990,27888.56,Inflamável,Ferroviário,5,12692.28
PR,GO,1889,10147.67,Perecível,Aéreo,14,12394.59
ES,RJ,2304,23667.91,Comum,Ferroviário,13,8012.04
RJ,RS,2725,9036.2,Inflamável,Rodoviário,1,18193.9
MG,PR,2578,7462.48,Inflamável,Ferroviário,3,14972.09
BA,BA,1838,25837.91,Comum,Ferroviário,11,6349.77
BA,RJ,2618,21057.34,Inflamável,Rodoviário,11,12448.77
BA,PE,1748,6337.5,Perecível,Aéreo,8,11288.55
BA,PE,2072,6861.05,Inflamável,Rodoviário,2,13338.75
PR,SC,1088,26148.35,Inflamável,Rodoviário,5,5419.52
RJ,MG,1557,22154.55,Frágil,Rodoviário,3,9816.7
RJ,SC,2740,20701.28,Industrial,Rodoviário,4,9700.52
RJ,RS,1869,7748.24,Inflamável,Rodoviário,5,8581.41
SP,RS,919,20665.32,Comum,Rodoviário,9,3608.03
ES,BA,804,4062.19,Inflamável,Ferroviário,12,3393.57
PE,BA,1757,8157.08,Comum,Ferroviário,6,5427.94
BA,PE,2054,22844.34,Inflamável,Aéreo,2,21077.18
GO,ES,2523,1444.59,Perecível,Rodoviário,2,15045.87
SP,PE,2043,24786.78,Frágil,Rodoviário,14,8899.9
RS,MG,2929,7207.97,Perecível,Ferroviário,7,11009.09
MG,SP,1477,13730.39,Comum,Ferroviário,1,7036.59
GO,SP,2470,10495.67,Comum,Ferroviário,8,7681.4
GO,MG,1681,7234.16,Inflamável,Aéreo,9,11696.44
SP,RS,344,25956.74,Industrial,Ferroviário,3,2065.09
RS,MG,1328,1839.41,Frágil,Rodoviário,6,5215.25
MG,RJ,1667,11696.41,Inflamável,Aéreo,7,12500.22
SP,RS,1204,23948.32,Industrial,Aéreo,3,9630.78
PR,PR,768,29402.91,Inflamável,Rodoviário,1,6088.19
MG,SP,203,13406.08,Perecível,Rodoviário,8,632.87
PR,RS,149,21392.53,Comum,Rodoviário,5,776.87
MG,MG,159,12108.36,Comum,Rodoviário,14,981.93
RS,MG,2584,8006.04,Industrial,Aéreo,2,19069.32
PE,RS,1656,20314.01,Inflamável,Ferroviário,13,7071.51
PR,SP,565,5364.78,Perecível,Aéreo,5,3984.18
SC,SC,2897,25856.56,Perecível,Aéreo,4,19334.87
PE,RS,2640,26003.37,Comum,Rodoviário,8,9408.83
GO,MG,1271,29017.7,Inflamável,Ferroviário,10,5894.44
SC,PE,2020,4910.29,Inflamável,Rodoviário,12,9318.49
GO,SP,881,17061.57,Frágil,Aéreo,1,8166.9
MG,GO,1833,17825.63,Frágil,Aéreo,2,16667.41
ES,RS,1417,2482.18,Industrial,Rodoviário,8,4536.55
MG,RJ,364,14707.98,Industrial,Aéreo,12,2497.6
BA,SP,1411,6092.16,Inflamável,Ferroviário,6,6052.95
BA,MG,255,16745.53,Perecível,Aéreo,11,2529.04
RS,GO,977,6967.39,Inflamável,Ferroviário,8,3816.71
BA,PE,270,16009.07,Industrial,Rodoviário,6,1782.99
SC,BA,1610,24021.9,Inflamável,Ferroviário,14,7487.19
GO,ES,2733,6401.04,Perecível,Rodoviário,13,11811.62
RJ,PR,2094,4146.08,Perecível,Rodoviário,9,8706.85
ES,PE,1291,29875.81,Industrial,Aéreo,4,7642.69
ES,RJ,1065,23627.56,Frágil,Ferroviário,1,5735.87
RJ,MG,314,12207.36,Industrial,Aéreo,2,3409.8
BA,PR,769,22678.52,Frágil,Ferroviário,5,3259.04
PE,ES,2254,5837.55,Comum,Rodoviário,12,8406.28
BA,SC,102,14666.4,Comum,Rodoviário,8,1176.2
RS,BA,1190,25507.31,Inflamável,Ferroviário,9,5513.45
PE,RS,1916,21149.74,Perecível,Aéreo,4,12494.94
PR,PR,2888,14496.99,Industrial,Aéreo,10,15562.4
SC,BA,2501,22322.91,Comum,Aéreo,2,18683.0
SP,SC,2552,6637.85,Industrial,Aéreo,13,13307.39
PE,PE,2579,4547.71,Industrial,Rodoviário,2,12668.91
PE,ES,2638,273.76,Comum,Rodoviário,5,9205.41
MG,PE,578,3224.32,Comum,Ferroviário,13,2050.68
PR,MG,2493,11969.81,Inflamável,Rodoviário,2,16501.48
MG,ES,1838,11508.92,Industrial,Aéreo,5,10675.18
ES,SC,2286,19483.33,Industrial,Aéreo,6,12923.64
PE,RJ,2380,20582.58,Frágil,Ferroviário,10,8823.46
SP,SC,523,10142.26,Comum,Aéreo,12,3122.99
MG,MG,2669,15339.0,Industrial,Aéreo,14,14426.81
BA,BA,627,20097.06,Inflamável,Ferroviário,14,3456.43
SP,SC,2746,27208.84,Perecível,Aéreo,13,18608.55
RS,BA,2095,19649.27,Industrial,Ferroviário,2,9538.85
BA,RS,803,19356.78,Frágil,Aéreo,3,7772.0
RJ,RS,2152,19851.72,Inflamável,Aéreo,10,15715.55
SP,BA,1051,14454.29,Frágil,Rodoviário,6,4494.54
PE,SP,2149,12121.85,Industrial,Rodoviário,5,7941.63
ES,ES,571,3511.89,Perecível,Aéreo,1,5738.99
SC,BA,907,5317.04,Frágil,Ferroviário,13,3909.27
GO,BA,2429,1695.33,Frágil,Aéreo,7,14702.47
RJ,MG,950,22410.3,Comum,Rodoviário,6,4063.8
RJ,PR,695,6958.01,Perecível,Rodoviário,10,3537.1
RJ,BA,1749,1316.75,Frágil,Rodoviário,6,6997.46
MG,RS,702,1619.29,Industrial,Aéreo,6,3731.68
GO,SP,727,9009.02,Industrial,Rodoviário,3,3933.74
RJ,PR,2889,25774.52,Perecível,Aéreo,12,18477.67
GO,GO,1981,9430.82,Frágil,Ferroviário,10,7278.59
PE,PR,408,21663.07,Inflamável,Ferroviário,2,3112.6
RS,PR,1367,5257.01,Industrial,Rodoviário,1,6924.35
SP,BA,2628,22683.93,Perecível,Aéreo,7,17265.14
PE,BA,907,22298.19,Perecível,Aéreo,7,6041.1
GO,BA,1183,1966.73,Comum,Ferroviário,2,5158.33
BA,ES,807,7335.51,Industrial,Rodoviário,1,4461.83
GO,SC,2548,11109.16,Industrial,Rodoviário,3,12571.48
ES,SC,1140,7635.06,Inflamável,Aéreo,9,8456.18
ES,PR,1612,8955.55,Perecível,Rodoviário,3,9558.96
PR,GO,1176,11749.04,Comum,Aéreo,14,6607.78
SC,PR,2388,22285.38,Industrial,Aéreo,1,18187.3
SC,PE,1883,23175.7,Industrial,Ferroviário,11,6428.41
SP,BA,187,12283.93,Industrial,Aéreo,11,1458.02
PR,SP,515,7621.43,Industrial,Rodoviário,11,2360.23
RJ,RJ,2407,6577.29,Industrial,Ferroviário,3,10882.47
RS,ES,623,15179.52,Perecível,Aéreo,14,4523.86
PE,SP,763,6379.4,Inflamável,Aéreo,12,5922.59
SC,MG,1499,26890.54,Industrial,Aéreo,9,7998.39
BA,RS,1400,9604.92,Perecível,Ferroviário,5,5316.26
PR,SP,1012,19855.48,Industrial,Ferroviário,4,3703.35
RJ,PR,366,10628.5,Comum,Aéreo,1,3397.19
PE,SC,2282,9062.4,Industrial,Ferroviário,14,7690.4
PE,PR,1840,14951.45,Industrial,Aéreo,1,14796.01
PR,GO,621,20022.52,Inflamável,Rodoviário,5,2926.0
SP,ES,1914,3339.55,Frágil,Rodoviário,11,7591.4
PE,SC,2733,11212.31,Comum,Rodoviário,4,9578.28
PE,RJ,2825,15789.45,Frágil,Rodoviário,7,11745.33
SC,SP,2830,20398.09,Comum,Ferroviário,7,9444.13
PR,PR,154,20101.96,Industrial,Ferroviário,11,592.47
GO,PE,602,1426.02,Frágil,Rodoviário,2,3524.46
SP,RJ,353,29970.64,Inflamável,Rodoviário,6,2100.23
MG,RS,2728,16729.33,Comum,Rodoviário,8,9830.45
ES,GO,1855,2180.92,Comum,Ferroviário,4,5504.15
BA,SP,2727,14448.58,Industrial,Aéreo,11,14728.8
GO,GO,1405,25799.24,Perecível,Ferroviário,9,5981.98
MG,RJ,2670,4988.39,Perecível,Ferroviário,10,10124.6
BA,PE,2776,13975.79,Frágil,Ferroviário,2,14410.4
PR,PR,1500,28735.04,Industrial,Aéreo,5,8924.77
GO,SC,200,15823.41,Perecível,Rodoviário,6,969.39
RS,MG,2824,16067.25,Perecível,Aéreo,6,18213.2
PE,RJ,2152,21091.89,Perecível,Rodoviário,13,8902.09
PR,BA,1652,5959.58,Inflamável,Rodoviário,12,8350.39
RJ,GO,1752,28799.54,Industrial,Rodoviário,13,6425.66
RS,BA,2109,17613.02,Industrial,Rodoviário,10,7677.8
PR,RJ,1807,21381.58,Industrial,Ferroviário,5,6101.7
MG,BA,1120,18465.1,Comum,Ferroviário,4,3206.87
ES,GO,1247,22719.02,Frágil,Aéreo,7,8180.41
SC,ES,2647,6739.82,Comum,Aéreo,4,13806.45
RJ,BA,2446,20418.17,Inflamável,Ferroviário,2,14785.4
SC,PR,1391,14949.54,Comum,Rodoviário,2,7051.68
MG,SC,800,27353.87,Comum,Rodoviário,6,3240.38
ES,ES,2505,21522.7,Comum,Rodoviário,3,12877.27
PR,MG,2404,16323.18,Comum,Ferroviário,9,8315.87
BA,MG,2969,6447.67,Perecível,Rodoviário,12,12515.37
PE,BA,819,13976.37,Perecível,Ferroviário,5,3412.33
SC,SP,366,27862.08,Comum,Ferroviário,3,1914.27
PE,GO,1381,4896.73,Perecível,Aéreo,7,8692.28
PE,SP,108,4596.39,Inflamável,Rodoviário,5,386.85
BA,PE,956,20408.46,Inflamável,Ferroviário,14,4687.11
RS,MG,2851,17804.68,Frágil,Rodoviário,10,11916.76
RS,SP,931,26353.39,Comum,Rodoviário,10,3148.74
GO,SP,1456,1104.92,Perecível,Aéreo,6,9115.37
MG,ES,1732,23819.02,Inflamável,Ferroviário,5,7728.2
PR,GO,2590,3501.11,Inflamável,Ferroviário,7,11260.87
BA,MG,159,15287.09,Comum,Ferroviário,9,514.12
PE,BA,755,27686.21,Industrial,Aéreo,6,5092.79
BA,PR,1652,25864.08,Comum,Ferroviário,10,5816.89
BA,GO,1399,1400.07,Inflamável,Aéreo,13,9311.67
GO,PR,2335,22120.44,Inflamável,Rodoviário,10,11333.45
PE,PR,2452,11808.77,Comum,Rodoviário,11,8761.43
RS,ES,2589,19986.74,Comum,Rodoviário,11,9558.13
BA,GO,987,28268.37,Inflamável,Ferroviário,9,4703.49
RJ,RS,1801,20807.13,Industrial,Rodoviário,14,6999.66
GO,SP,2929,8949.23,Industrial,Ferroviário,9,9494.04
RJ,ES,1026,6768.46,Comum,Ferroviário,5,3322.95
RS,SC,2783,21858.38,Inflamável,Rodoviário,2,18658.57
MG,BA,1633,21712.77,Frágil,Rodoviário,8,7310.12
ES,PR,2419,18662.16,Frágil,Ferroviário,6,9806.54
GO,SP,2010,13137.51,Industrial,Ferroviário,9,6812.07
RJ,SP,2594,7891.36,Inflamável,Rodoviário,14,12141.83
SP,MG,2270,9777.91,Frágil,Ferroviário,9,8537.94
RS,ES,1850,27930.71,Comum,Aéreo,9,10563.25
RJ,PE,1070,20225.24,Perecível,Ferroviário,8,4070.58
BA,PR,1383,12273.07,Perecível,Rodoviário,2,8926.13
GO,ES,1764,12416.79,Frágil,Aéreo,10,11158.5
RJ,SP,2193,17653.25,Perecível,Ferroviário,4,9030.41
GO,MG,934,3078.4,Perecível,Rodoviário,7,4430.7
RS,MG,2954,775.46,Comum,Aéreo,14,15425.03
PE,MG,2771,17319.62,Perecível,Aéreo,2,24914.62
PR,MG,1159,9284.8,Industrial,Ferroviário,14,3841.62
RS,SP,1213,3083.91,Perecível,Ferroviário,8,4654.29
ES,SC,2050,11330.37,Frágil,Ferroviário,1,10517.62
SC,PE,1661,18947.1,Comum,Rodoviário,11,6750.99
MG,PR,1326,8479.64,Frágil,Rodoviário,13,5730.47
GO,MG,2807,24432.24,Perecível,Rodoviário,9,12370.11
RS,MG,159,5701.73,Inflamável,Aéreo,13,719.4
RJ,GO,2022,14921.19,Inflamável,Ferroviário,9,8670.55
RJ,PR,138,4253.61,Perecível,Ferroviário,13,-67.89
PE,GO,1567,23781.77,Frágil,Aéreo,11,10386.66
GO,GO,1332,10187.86,Industrial,Rodoviário,2,6805.95
ES,SP,588,17691.25,Inflamável,Rodoviário,9,3159.04
SP,GO,2970,27511.3,Perecível,Aéreo,5,19680.61
RJ,ES,1594,2813.11,Comum,Aéreo,1,11829.28
